wallet_address,Proposal voter,Proposal votes,Direct votes,Delegated votes,p1,p2,p3,p4,p5,p6,p7
0x4cae5bed586f6e73ae54ebd40a4ac4ed2c477c34,1,2,2,0,0,1,1,0,0,0,0
0x4f3cd1e0b027a620a1db670f7a2189bb29c6a534,1,2,2,0,0,1,1,0,0,0,0
0x14b8cb752476af917ae831973318ad1814b622e0,1,2,2,0,1,0,0,0,0,1,0
0x525a39ffdf2a0c085c64b6774bd1a231fb0614d2,1,2,2,0,0,1,1,0,0,0,0
0x8c8e7073190e3d0021bf58594cbdd9c9c2a4c088,1,2,2,0,0,0,0,1,0,1,0
0xd827a2f78f254bc0a1321786a3ee6cbf075240c0,1,2,2,0,0,1,1,0,0,0,0
0xdb288fbb1699440fa85a6317a1c439946cc0ae18,1,2,2,0,0,0,0,1,1,0,0
0x33c99175c8eaa6f9f4a2ba6c30d5d59b956c977f,1,2,2,0,0,0,0,0,1,0,1
0xde3258c1c45a557f4924d1e4e3d0a4e5341607ee,1,2,2,0,1,0,0,0,0,1,0
0x3f34fe4d0ca95ddf9ae3875a54702d6dda289acf,1,2,2,0,0,1,0,1,0,0,0
0x91cdab42b6a8dd1c74b7edad9da519f12dcc3056,1,2,2,0,0,0,0,1,0,0,1
0x9381b0764e0020279078bfd4dec060977645efb8,1,2,2,0,0,1,1,0,0,0,0
0x17165bb0e230ce4bae46ce031c3ba6f992d4b655,1,2,2,0,0,0,0,1,1,0,0
0x9a1d246da1ae642d72bed133ac183fa495cc7c23,1,2,2,0,1,0,0,1,0,0,0
0x9dadd52094c9def28b3a3298b8af8c35803f53ce,1,2,2,0,0,0,0,1,0,1,0
0xeb44db93c6ef032019c43ef4d3e1664027b73e88,1,2,2,0,0,1,1,0,0,0,0
0xefe586d55138561b1b3c329e4b117d9951a4275c,1,2,2,0,0,0,0,0,0,1,1
0x59603e56ab3e63c7a59fc9c6fde6a11e8bd637c5,1,2,2,0,1,0,1,0,0,0,0
0x597880a850b323c6059d35fd4b59ce65c5e42e20,1,2,0,2,0,1,1,0,0,0,0
0x10bd957a57ae4adc863ea442bea672d7548aa2c5,1,2,2,0,0,0,0,1,0,1,0
0x9ee1830ff376758c5ecc7fb465f3b14d64116d71,1,2,2,0,1,0,0,1,0,0,0
0xf41499f6e105786576fb99cb0c060626fb9f3a31,1,2,2,0,1,0,1,0,0,0,0
0x5bd95b63214758659519199198af66e522197848,1,2,2,0,0,0,0,1,0,1,0
0x3aa8ac0e6c1fb9cbb733565de16cdc5a676bcb04,1,2,2,0,0,0,0,1,0,0,1
0xa08f74e320d0b212b4715ae6e9fa670f4a3e631e,1,2,2,0,0,1,1,0,0,0,0
0xf8375068f5ddab07033bf5410e1fcf6ef70955a0,1,2,2,0,0,0,0,1,1,0,0
0x3ce9585f05112bdfc913f0fc3cb0f897ef036165,1,2,2,0,1,0,0,1,0,0,0
0x3dc1ea25bf062be5bb102305fba401d74bf63ea2,1,2,2,0,0,0,0,1,0,0,1
0xa78d5b0a952ca7b220327fc6f70c4e82cc674202,1,2,2,0,0,0,0,1,0,1,0
0x9f4c9e7fe4f6a7a35264eaebf3a4eae173246286,1,1,1,0,0,0,0,0,0,0,1
0xa3008daebf503d163d25c221934b435c3e223ad2,1,1,1,0,0,0,0,0,0,0,1
0xa4e7918fb5f4a8c12f9513b193be1d764d5757dc,1,1,1,0,0,0,1,0,0,0,0
0xa50592ada1c5f553ec98bfca3e9ff5a916edbde6,1,1,1,0,0,0,0,0,0,0,1
0xa507d5e1a3fdb1818c8de80872c3b42fb88a658f,1,1,1,0,0,0,0,0,0,1,0
0xa5c76dfc97c5aceec34bcd563b8ff8a833833b61,1,1,1,0,1,0,0,0,0,0,0
0xa6584b95ea4e9018b1f377dad99448ec478a150f,1,1,1,0,0,0,0,0,0,1,0
0xa6aec2b627b6ed035493eecfe52622320a818f9f,1,1,1,0,1,0,0,0,0,0,0
0xa7d347ec28fdb4f1cefbc7153000eb6c4fda589c,1,1,1,0,0,0,0,1,0,0,0
0xa8162e67b831a06df36943ff0221b4dc52ddbca0,1,1,1,0,1,0,0,0,0,0,0
0xa85ec7959adb0359b0646fffc7249a089a96812f,1,1,1,0,0,0,0,0,0,0,1
0xab8c50c672fe44a5068589db2f197b006f9424da,1,1,1,0,0,0,0,0,0,0,1
0xafc9607c0dae718e1fa3a3f691149a98e522fb79,1,1,1,0,0,0,0,0,0,1,0
0xb14f13dff8f2ae00617cde0a697ee0f6890e88e7,1,1,1,0,1,0,0,0,0,0,0
0xb1f2aedb2493ae882c5384ec008a771f9c4cf520,1,1,1,0,0,0,0,0,0,0,1
0xb290e60a9526c22b353ea842e70bb73e985e660b,1,1,1,0,0,0,0,0,0,0,1
0xb290fd44a628a21fccbf6347668d80de4177da42,1,1,1,0,0,0,0,1,0,0,0
0xb3fedc474ce4507d73e480e0e14090930c804ec5,1,1,1,0,0,0,0,1,0,0,0
0xb5e95ee834c72f8faf8ec9ff18ebee593d0b295d,1,1,1,0,0,0,0,0,0,0,1
0xb6ddb62771ce01787d6c7e020af3cbb882e4230d,1,1,1,0,0,0,0,0,0,0,1
0xb98cca7cf3eb8a376ae96cf9c94d59682f51dbe2,1,1,1,0,0,0,0,0,0,1,0
0xb9c4da0317f44785c4143134f1a3184f1330c4ee,1,1,1,0,0,0,0,0,0,0,1
0xb9fddbd225b6c8cc24ce193e5fb95db76d783f2d,1,1,1,0,1,0,0,0,0,0,0
0xba63a7a172d54b0ab3609f7ee579ada949dfe51a,1,1,1,0,0,0,0,0,0,0,1
0xbaa882d68fc5325fc3899de264f24b5981523a5c,1,1,1,0,0,0,0,1,0,0,0
0xbb41e96e8e3f020ef92f1c0fb207b54b2a2ccc2b,1,1,1,0,0,0,0,0,0,0,1
0xbb526df2adf2b4a9cf00d931c960bf343827b621,1,1,1,0,0,0,0,0,0,0,1
0xbbb33d2e7bd7ddc722e53da9ca8ee97df41cfabf,1,1,1,0,0,0,0,0,1,0,0
0xbd820c593fe2b0eb196b435445b817f735b37a4c,1,1,1,0,0,0,0,0,0,1,0
0xbdbcbbfbfbd3a3d13fc69984608673bc370494cc,1,1,1,0,0,0,0,1,0,0,0
0xbe0c5da5465c101e8b0f87da287ffcae1caa4d05,1,1,1,0,1,0,0,0,0,0,0
0xbecc9a01873b5a877b856401b8688856dc053b12,1,1,1,0,0,0,0,0,0,0,1
0xbedfa3e446485df7cd14d5fdc2baf54dbf848731,1,1,1,0,0,0,0,0,0,0,1
0xbf1ef388bf5654f0eaaea4199b6da525baf1f166,1,1,1,0,0,0,0,1,0,0,0
0xbf3e98b64983e800ea6d67ef3f92098e51c63319,1,1,1,0,0,0,0,0,0,0,1
0xbf8349c93f7b740a55894ab7a3d495c0f3dd7e46,1,1,1,0,0,0,0,0,0,1,0
0xbf99e2439e072ce8f6bb8e119e6c6149aeabfcbc,1,1,1,0,0,0,0,0,0,1,0
0xc0f01b89f7e1574911e5a16b5f0754b7d43c13e1,1,1,1,0,0,0,0,0,0,0,1
0xc22a945e4d910618100776223dcf5d2aabb7e8db,1,1,1,0,0,0,0,0,0,0,1
0xc26e8d692dff36f6c678e645df4bded537ed4693,1,1,1,0,0,0,0,0,1,0,0
0xc30a8c89b02180f8c184c1b8e8f76af2b9d8f54d,1,1,1,0,1,0,0,0,0,0,0
0xc4a4b7e3377cbb8eafdc2f078a6c3c65667b5630,1,1,1,0,0,0,0,0,0,0,1
0xc4c3a6e40f9d142990295c20e9bafa625c29ba30,1,1,1,0,0,0,0,0,0,0,1
0xc6a97374462f4657ba08ae893f84e606a02060b7,1,1,1,0,0,0,1,0,0,0,0
0xc70bb48a5cf242220041b7e261fe2fd6de71cb19,1,1,1,0,0,0,0,0,0,0,1
0xc7527528abccebb6eb34a6090135816e4020f34d,1,1,1,0,0,0,0,0,0,1,0
0xc85c1a16b06a8db1880ba0f54a265752df429692,1,1,1,0,0,0,0,0,0,1,0
0xc8d48704e1eccabf6bece9cf00919d9044c19335,1,1,1,0,0,0,0,0,0,0,1
0xc8d806863fe6024b637121a20986cd76fbe26ad8,1,1,1,0,0,0,0,1,0,0,0
0xc8f73fbc5a8f832ae4c106191269b2a1be93e83a,1,1,1,0,0,0,0,0,0,1,0
0xc9d5e3e8dbbbb2a7680201040258832f5fcd35ac,1,1,1,0,0,0,0,0,0,0,1
0xca17ef1925d49931918e3fde7aa4516a3a4958c4,1,1,1,0,0,0,0,0,0,1,0
0xcae46a7aec75320cb2c3ef014db0aca3ce612d68,1,1,1,0,0,1,0,0,0,0,0
0xcafe32e515f8c6b29fc0b817d443bdf0bb2a5ad7,1,1,1,0,0,0,0,1,0,0,0
0xcb5bb18179d29277d6e8dd0e76ba635eab1f7624,1,1,1,0,0,0,0,0,0,0,1
0xcd89d190353b1d0d4c103102c38b76f7696d511d,1,1,1,0,1,0,0,0,0,0,0
0xcddc548653b1d2ac4988f4028f79a1c4bb8d2025,1,1,1,0,0,0,0,0,0,1,0
0xce719191f22db9498250f37672bf3f421bd42c41,1,1,1,0,1,0,0,0,0,0,0
0xcec4c853cad177a93602408ac8f78f45fcf4caff,1,1,1,0,0,0,0,0,0,0,1
0xcf517d7d6b24a761e25717b204d65510c88d37e3,1,1,1,0,0,0,0,1,0,0,0
0xcf7eb95554cfcb6bed021cdff3e6f3955a5dfa48,1,1,1,0,0,0,0,0,0,0,1
0xd0a5793620046f4f54a6018bea4f76a8970e70c5,1,1,1,0,0,0,0,0,0,1,0
0xd0dc07b98769f23a7bdbef15a35faa256cb65dcf,1,1,1,0,0,0,0,1,0,0,0
0xd155d472fce46fd506be8e844a03b761565e242b,1,1,1,0,0,0,0,0,0,1,0
0xd22886236f453e9407f54cc2706b2e9c87789702,1,1,1,0,1,0,0,0,0,0,0
0xd56c4b4f242c36b3bb88e4589294625058f38df3,1,1,1,0,0,0,0,0,1,0,0
0xd5f44a29b834e6e4346423a9e82faf837da8a16c,1,1,0,1,0,0,0,0,1,0,0
0xd5fbd35dd16c3244eadd8a46355c4a55c79ca364,1,1,1,0,0,0,0,0,0,0,1
0xd75cb90bf8aa8b4c1bc0dc90080898ac25ba206f,1,1,1,0,0,0,0,0,0,1,0
0xd8575c317396dadefd83d83e4f0144f0aee7934d,1,1,1,0,0,0,0,1,0,0,0
0xdb9918673d782a8116f583937f2f4a32352f11a2,1,1,1,0,0,0,0,0,0,0,1
0xdda42f12b8b2ccc6717c053a2b772bad24b08cbd,1,1,1,0,0,0,0,0,0,0,1
0xde054f5b456de4e1c7795d58bc7d4e069052f9fa,1,1,1,0,0,0,0,1,0,0,0
0xdf5ce70cfe1addbc9fb26b5952d9d600dfe3f628,1,1,1,0,0,0,0,0,1,0,0
0xe00954673ea4d16dcfb58b965b76023e338fe652,1,1,1,0,0,0,0,0,0,0,1
0xe068d7105ce4de28b075cd039f76ad5df4cc42cd,1,1,1,0,0,0,0,0,0,1,0
0xe11b0f5e90c23e46bd96523df1e0ac8f63613744,1,1,1,0,0,0,0,0,0,1,0
0xe1375d2a94a2c360e3493fc025e6d9c156b1805c,1,1,1,0,0,0,0,0,0,0,1
0xe175a11f7af6ced6930d74244cfd4cf7b443a855,1,1,1,0,0,1,0,0,0,0,0
0xe1a59cdd826c4460a30a77cc0526cd19351f670b,1,1,1,0,0,0,0,0,0,1,0
0xe1ab77fa0c089dd578fa1e542e50d655a37c3b05,1,1,1,0,0,0,0,0,0,0,1
0xe24f5bb260ec92deed0544a96b234c24dbd7b4d6,1,1,1,0,0,0,0,0,0,0,1
0xe269f15f201cafb61769b944c566bb6c70597050,1,1,1,0,0,0,0,0,0,1,0
0xe35987c2fbdd0a1246fa990e75ebb6d8a2d74903,1,1,1,0,0,0,0,0,0,0,1
0xe3f0254b09aec48ffa46f9eee5a3bc7a8e510e6d,1,1,1,0,0,0,0,0,0,0,1
0xe4e4aab9272a157a19e3dc03fd3ba9c5c5664bb5,1,1,1,0,0,0,0,0,0,0,1
0xe5199e3762dd37bbf459bdbf753349287dffd678,1,1,1,0,0,0,0,0,0,0,1
0xe7bd513b6e4fc2483137fb1a0e7ed946fd3357e9,1,1,1,0,0,0,0,0,0,0,1
0xe7c724f87ecff8e2f563962f96b6c291cbd729cf,1,1,1,0,1,0,0,0,0,0,0
0xe8b6e255be047b6958b27c7ed7ff4174337f3fcc,1,1,1,0,0,0,0,0,0,0,1
0xed2256acb6f78e201dcd316540217d375d90a2ce,1,1,0,1,0,0,0,0,1,0,0
0xed2ee0a646b7fd9cd5795ca09ac5a6ffc1761a90,1,1,1,0,1,0,0,0,0,0,0
0xeecbf57a0d9bf2a7e7dcca97ae3254b3a1268775,1,1,1,0,0,0,0,0,0,1,0
0xefebf3c522b582ed4a5f20a588d4a8aa14416624,1,1,1,0,0,0,0,0,0,1,0
0xf0208e93d6481ba343bc22199fa35ca91b6dbc0a,1,1,1,0,0,0,0,0,0,0,1
0xf02e6946d86fd306ee1cfabceda831ee0f6ae487,1,1,1,0,0,0,0,0,0,0,1
0xf045cfd6e4c35c1ce4cca565c206d6eb605f69f4,1,1,1,0,0,0,0,1,0,0,0
0xf44b52c11b1c800722e8fdf4aa7f3076339e73c4,1,1,1,0,0,0,0,1,0,0,0
0xf4dcf5a885076ce2dde3abcf52becf48a9a964a9,1,1,1,0,0,0,0,0,0,1,0
0xf54a03cab6d7d4579387290157a0c0006536022e,1,1,1,0,0,0,0,0,1,0,0
0xf5d80973cb36299c798ec696ce9d6811592889f3,1,1,1,0,0,0,0,0,0,0,1
0xf5fb27b912d987b5b6e02a1b1be0c1f0740e2c6f,1,1,1,0,0,0,0,0,0,0,1
0xf68a4ce1d19cdad2467139e2b08d38d36adfa777,1,1,1,0,0,0,0,0,0,0,1
0xf8b30bae47824dc3ab587aa2e7113160c96a8d76,1,1,1,0,0,0,0,1,0,0,0
0xf9d89dc506c55738379c44dc27205fd6f68e1974,1,1,1,0,1,0,0,0,0,0,0
0xfacb4257f7067423111269da5f5108f9196ff9a8,1,1,1,0,0,0,0,0,0,0,1
0xfc9e54a6905d10c89b31a402dd11c516b81514c4,1,1,1,0,1,0,0,0,0,0,0
0xfcc38003ddef384ee574f81e5de4dc5a9edc59c6,1,1,1,0,0,0,0,0,0,0,1
0xfdc45e8a348afbf8f59d9611bf6cc634b99e2ae4,1,1,1,0,1,0,0,0,0,0,0
0xfe4c4a27bed5e9113480c84a177068f7421a1eb7,1,1,1,0,0,0,0,0,0,0,1
0xfeafa6af75e7adbf7f0b3f6f318a143cc2b1aaff,1,1,1,0,1,0,0,0,0,0,0
